Question_Number,Question_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Option_F,Option_G,Option_H,Correct_Answer
1,UK8295094,"Given code: public class Test { public static void main(String[] args) { byte b1 = (byte) (127 + 21); System.out.println(b1); } } What is the result?",148,Compilation error,-108,128,,,,,"C"
2,UK8291966,"Consider below code: public class Test { public static void main(String[] args) { char c = 'Z'; long l = 100_00l; int i = 9_2; float f = 2.02f; double d = 10_0.35d; l = c + i; f = c * l * i * f; f = l + i + c; i = (int)d; f = (long)d; } } Does above code compile successfully?",Yes,No,,,,,,,A
3,UK8298118,"Consider below code: package com.examtest.ocp; public class Test { public static void main(String[] args) { char c1 = 'a'; int i1 = c1; System.out.println(i1); } } What is the result?",a,97,Line n1 causes compilation failure,Line n1 causes runtime error,,,,,"B"
4,UK8291961,"Consider below statements: 1. int x = 5____0; 2. int y = ____50; 3. int z = 50____; 4. float f = 123.76_86f; 5. double d = 1_2_3_4; How many statements are legal?",One statement only,Two statements only,Three statements only,Four statements only,All 5 statements,,,,"C"
5,UK8298119,"Given code: package com.examtest.ocp; public class Test { public static void main(String[] args) { byte b1 = 10; int i1 = b1; byte b2 = i1; System.out.println(b1 + i1 + b2); } } What is the result?",Line n1 causes compilation error,Line n2 causes compilation error,Line n3 causes compilation error,30 is printed on to the console,,,,,"C"
6,UK8295088,"Range of short data type is from -32768 to 32767. Which of the following code segments will compile successfully? Choose 3 options.","short s1 = 10;","short s2 = 32768;","final int i3 = 10;short s3 = i3;","final int i4 = 40000;short s4 = i4;","final int i5 = 10;short s5 = i5 + 100;","final int m = 25000;final int n = 25000;short s6 = m + n;","int i7 = 10;short s7 = i7;",,"A,C,E"
7,UK8297266,"Consider below code: package com.examtest.ocp; public class Test { public static void main(String[] args) { boolean b1 = 0; boolean b2 = 1; System.out.println(b1 + b2); } } What is the result?",0,1,true,false,Compilation error,,,,"E"
8,UK8298116,"Consider below code: package com.examtest.ocp; public class Test { public static void main(String[] args) { Boolean b1 = Boolean.valueOf(""tRuE""); Boolean b2 = Boolean.valueOf(""fAlSe""); Boolean b3 = Boolean.valueOf(""abc""); Boolean b4 = null; System.out.println(b1 + "":"" + b2 + "":"" + b3 + "":"" + b4); } } What is the result?","false:false:false:null","true:false:false:null","false:false:true:null",Compilation error,,,,,"B"
9,UK8298115,"Consider below code with two add methods - one taking double primitives and one taking Double objects. What happens when add(10.0, null) is called?",Compilation error,"double version: 10.0","Double version: 10.0",An exception is thrown at runtime,,,,,"D"
10,UK8297268,"Consider code with overloaded method m accepting Object, Number, and Double. What is printed when m(1) is called?",Compilation error,Object version,Number version,Double version,,,,,"C"
11,UK8298594,"Consider code: extractInt(2.7); extractInt(2); where extractInt accepts Double. What is the result?",22,32,Compilation error in main method,Compilation error in extractInt method,An exception is thrown at runtime,,,,"C"
12,UK8295085,"Consider code that iterates through array {""abc"", ""TrUe"", ""false"", null, ""FALSE""} and prints T or F based on Boolean.valueOf(s). What is the result?",FTFFF,FFFFF,TTFTT,TTTFT,NullPointerException is thrown at runtime,,,,"A"
13,UK8295096,"Consider: var x = Math.ceil(10.50) + Math.floor(10.50) + Math.round(10.50); System.out.println(x); What is the result?",30.0,31.0,32.0,33.0,30,31,32,33,"C"
14,UK8297291,"Consider: var x = Double.valueOf(Math.random() * 10).intValue(); Which statement is correct?",Output is any int value between 1 and 10,Output is any int value between 1 and 9,Output is any int value between 0 and 10,Output is any int value between 0 and 9,,,,,"D"
15,UK8298141,"Consider 3 statements: 1. System.out.println(700 * Math.pow(2, -2)); 2. System.out.println(700 * (1 / 4)); 3. System.out.println(7 * Math.ceil(24.80)); Do all produce same output?",Yes,No,,,,,,,B
16,UK8297294,"Consider: System.out.println(Math.pow(10, Math.____(0.50))); Options: ceil, floor, round, abs. How many produce output 1.0?",Only one option,Only two options,Only three options,All four options,,,,,"A"
17,UK8298112,"Consider: System.out.println( 53 / 2.0 ); System.out.println( 53 % 2.0 ); What is the result?",261,"26.51.0","26.01.0","26.50.0",,,,,"B"
18,UK8295086,"Consider: System.out.println(""Password"" + 1 + 2 + 3 + 4); What is the result?",Password10,Password19,Password1234,Password 10,,,,,"C"
19,UK8298596,"Consider: System.out.println(1 + 2 + 3 + 4 + ""Running""); What is the result?",10Running,1234Running,64Running,10 Running,,,,,"A"
20,UK8297265,"Consider: System.out.println(""1"" + ""2"" + ""3"" == ""1"" + ""2"" + ""3""); What is the result?",Compilation error,123,true,false,,,,,"C"
21,UK8298111,"Consider: System.out.println(""Equals??? "" + 10 != 5); What is the result?",Equals??? true,Equals??? false,Compilation error,Equals??? 10 != 5,,,,,"C"
22,UK8295087,"Consider: System.out.println(""Result is: "" + (10 != 5)); What is the result?","Result is: true","Result is: false",Compilation error,"Result is: (10 != 5)",,,,,"A"
23,UK8297281,"Consider byte var = 127; Which options compile when used in System.out.println()? Options: var=var-1, var=var+1, ++var, --var, var*=2, var-=10, var+=2, var. How many compile?",One option only,Two options only,Three options only,Four options only,Five options only,Six options only,Seven options only,All eight options,"F"
24,UK8297283,"Consider String text = null; How many options print nullnullnull? Options include text.repeat(3), null+null+null, null+""null""+null, text*=3, text+=""null"".repeat(2), text+text+text, text+=null;text.concat(null)",One option only,Two options only,Three options only,Four options only,Five options only,Six options only,All seven options,,"C"
25,UK8298130,"Consider class A with toString() returning null. String text = null; text = text + new A(); System.out.println(text.length()); What is the result?",Line n1 causes compilation error,Line n1 causes Runtime error,Line n2 causes Runtime error,0,4,8,,,"F"
26,UK8297282,"Consider: String text = ""RISE ""; text = text + (text = ""ABOVE ""); System.out.println(text); What is the result?","RISE RISE ABOVE","RISE ABOVE","ABOVE ABOVE","RISE ABOVE RISE",,,,,"B"
27,UK8291979,"Consider: StringBuilder sb = new StringBuilder(""INHALE ""); String s = sb.toString() + (sb.append(""EXHALE "")); System.out.println(s.strip().length()); What is the result?",21,20,28,27,24,23,18,17,"B"
28,UK8292824,"Consider: boolean flag = false; System.out.println((flag = true) | (flag = false) || (flag = true)); System.out.println(flag); What is the result?",truefalse,falsetrue,truetrue,falsefalse,Compilation error,,,,"A"
29,UK8291977,"Consider: boolean status = true; System.out.println(status = false || status = true | status = false); What is the result?","true\nfalse","false\ntrue","true\ntrue","false\nfalse",Compilation error,,,,"E"
30,UK8291971,"Consider: var a=3,b=5,c=7,d=9; boolean res = --a + --b < 1 && c++ + d++ > 1; System.out.printf values. What is the result?","a = 2, b = 4, c = 7, d = 9, res = false","a = 2, b = 4, c = 8, d = 10, res = false","a = 2, b = 4, c = 7, d = 9, res = true","a = 2, b = 4, c = 8, d = 10, res = true","a = 3, b = 5, c = 8, d = 10, res = false","a = 3, b = 5, c = 8, d = 10, res = true",,,"A"
31,UK8298129,"Consider: int m = 20; int var = --m * m++ + m-- - --m; System.out.println values. What is the result?","m = 25var = 363","m = 363var = 363","m = 18var = 363",Compilation error,,,,,"C"
32,UK8292822,"Consider: int x = 7; boolean res = x++ == 7 && ++x == 9 || x++ == 9; Print x and res. What is the result?","x = 10res = true","x = 9res = true","x = 10res = false",Compilation error,,,,,"B"
33,UK8292821,"Given: int a = 1000; System.out.println(-a++); What is the result?",Compilation error,-1000,-1001,999,-999,,,,"B"
34,UK8291975,"Given: int i = 2; boolean res = false; res = i++ == 2 || --i == 2 && --i == 2; System.out.println(i); What is the result?",2,3,1,Compilation error,,,,,"B"
35,UK8292820,"Consider: int i = 10; System.out.println(i > 3 != false); What is the result?",Compilation error,true,false,null,,,,,"B"
36,UK8297279,"Consider boolean flags and expressions with == and != operators. What is the result?",Line n1 causes compilation error,Line n2 causes compilation error,truetrue,truefalse,falsetrue,falsefalse,,,"E"
37,UK8298126,"Consider: var val = 9; System.out.println(val += 10 - -val-- - --val); What is the result?",21,22,23,24,25,26,Compilation error,,"A"
38,UK8297293,"Consider: LocalDate date = LocalDate.parse(""2024-1-01""); What is the result?","2024-01-01","2024-1-1","2024-1-01",An exception is thrown at runtime,,,,,"D"
39,UK8298140,"Consider: LocalDate date = LocalDate.of(2025, 9, 31); What is the result?",Compilation error,An exception is thrown at runtime,"2025-10-01","2025-09-30",,,,,"A"
40,UK8291503,"Consider: LocalDate date = LocalDate.of(2024, 9, 6); System.out.println(date); What is the result?","2024-9-6","2024-09-06","2024-6-9","2024-06-09",,,,,"B"
41,UK8292834,"Consider: LocalDate date = LocalDate.of(2068, 4, 15); System.out.println(date.getMonth() + "":"" + date.getMonthValue()); What is the result?","APRIL:3","APRIL:4","April:3","April:4",,,,,"B"
42,UK8292839,"Consider newYear and christmas LocalDates. What does isAfter and isBefore return?","false:true","true:false",An exception is thrown at runtime,Compilation error,,,,,"A"
43,UK8291507,"Consider: newYear and eventDate both 2027-01-01. What does isAfter and isBefore return?","false:false","true:true","false:true","true:false",,,,,"A"
44,UK8292838,"Consider: LocalDate date = LocalDate.parse(""2028-06-06""); date.minusDays(10); System.out.println(date); What is the result?","2028-05-26","2028-05-27","2028-06-26","2028-06-25","2028-06-06",,,,"E"
45,UK8291981,"Consider date1 and date2 both LocalDate.parse(""1980-03-16""). What does equals and isEqual return?","true : false","true : true","false : true","false : false",,,,,"B"
46,UK8291982,"Consider: class MyLocalDate extends LocalDate... What is the result?","1980-03-16","16-03-1980","16-3-1980",An exception is thrown at runtime,Compilation error,,,,"E"
47,UK8291985,"Consider: LocalDate date = LocalDate.parse(""1980-03-16""); System.out.println(date.minusYears(-5)); What is the result?","1975-03-16","1985-03-16",Compilation error,Runtime exception,,,,,"B"
48,UK8292832,"Consider: joiningDate.withDayOfYear(29) on 2006-03-16. What is the result?","2006-03-29","2006-01-01","2006-01-29",None of the other options,,,,,"C"
49,UK8291984,"Consider: LocalTime time = LocalTime.of(23, 60); What is the result?","23:60","00:00","00:01",Compilation error,An exception is thrown at runtime,,,,"E"
50,UK8298136,"Consider: LocalDate obj = new LocalDate(2020, 2, 14); What is the result?","2020-02-04","2020-02-03",Compilation error,Runtime exception,,,,,"C"
51,UK8297288,"Consider: Period period = Period.of(0, 1000, 0); System.out.println(period); What is the result?","P0Y1000M0D","p0y1000m0d","P1000M","p1000m",,,,,"C"
52,UK8298135,"Consider: Period period = Period.of(0, 0, 0); System.out.println(period); What is the result?","P0Y0M0D","p0y0m0d","P0D","p0d",,,,,"C"
53,UK8298137,"Consider: Period period = Period.of(2, 1, 0).ofYears(10).ofMonths(5).ofDays(2); What is the result?","P12Y6M2D","P2Y1M0D","P2Y1M","P2D",,,,,"D"
54,UK8298132,"Consider: LocalDate date = LocalDate.parse(""2000-06-25""); while loop with date.plusDays(-1) not reassigned. How many times does println execute?",Compilation error,An exception is thrown at runtime,System.out.println(date) is executed 6 times,System.out.println(date) is executed more than 6 times,,,,,"D"
55,UK8298134,"Consider: LocalDate obj = LocalDate.now(); System.out.println(obj.getHour()); Which statement is correct?",Code fails to compile,Code compiles successfully but throws Runtime exception,It will print any int value between 0 and 23,It will print any int value between 1 and 24,,,,,"A"
56,UK8297286,"Consider: LocalDateTime obj = LocalDateTime.now(); System.out.println(obj.getSecond()); Which statement is correct?",Code fails to compile,Code compiles successfully but throws Runtime exception,It will print any int value between 0 and 59,It will print any int value between 1 and 60,,,,,"C"
57,UK8298152,"Consider 4 LocalDate objects created with parse and of methods. What does == comparison return?","true:false:true","false:false:true","true:true:true","false:false:false",,,,,"D"
58,UK8291516,"Consider: LocalDate date = LocalDate.parse(""1947-08-14""); LocalTime time = LocalTime.MAX; System.out.println(date.atTime(time)); What is the result?","1947-08-14T23:59:59","1947-08-14T23:59:59.999","1947-08-14T23:59:59.999999999","1947-08-14T23:59:59.0",,,,,"C"
59,UK8292848,"Consider: date.plus(Period.ofYears(-3000)) on 2000-01-01. What is the result?",Compilation error,Runtime exception,"1000-01-01","-1000-01-01","5000-01-01",,,,"D"
60,UK8292847,"Consider: Period.parse(""p-30000y"") added to 2000-01-01. What is the result?",Compilation error,Runtime exception,"-28000-01-01","28000-01-01","32000-01-01",,,,"C"
61,UK8292846,"Which gives current system time? Select 2 options.",System.out.println(new LocalDate()),System.out.println(LocalDate.now()),System.out.println(new LocalTime()),System.out.println(LocalTime.now()),System.out.println(new LocalDateTime()),System.out.println(LocalDateTime.now()),,,"D,F"
62,UK8291514,"Consider: LocalDate date = LocalDate.parse(""1983-06-30""); System.out.println(date.plusMonths(8)); What is the result?","1983-02-30","1983-02-29","1983-02-28","1984-02-30","1984-02-29","1984-02-28",An exception is thrown at runtime,,"E"
63,UK8291998,"Consider: LocalDate ocpCouponPurchaseDate = LocalDate.of(2023, 3, 1); System.out.println(ocpCouponPurchaseDate.plusDays(10)); What is the result?","Coupon expiry date: 2023-3-11","Coupon expiry date: 2023-03-11",Compilation error,Runtime exception,,,,,"B"
64,UK8291999,"Consider: LocalDate date = LocalDate.ofYearDay(2022, 32); What is the result?",Runtime exception,"2022-02-01","2022-02-02","2022-2-1","2022-2-2",,,,"B"
65,UK8292849,"Consider: date.plusMonths(-6) on 2020-08-31. What is the result?","2020-02-31","2020-02-30","2020-02-29","2020-02-28",An exception is thrown at runtime,Compilation error,,,"C"
66,UK8291993,"Consider: LocalDate date = LocalDate.ofEpochDay(0); What is the result?","1970-01-01",Runtime Exception,"1970-00-01","1970-1-1",,,,,"A"
67,UK8292844,"Consider: LocalDate date = LocalDate.ofYearDay(2023, 0); What is the result?","2023-01-01","2023-1-1","2022-12-31",Runtime Exception,,,,,"D"
68,UK8291513,"Consider: LocalDate date = LocalDate.ofEpochDay(1); What is the result?","1970-01-01","1970-01-02","1970-1-1","1970-1-2",,,,,"B"
69,UK8298146,"Consider: LocalDate date = LocalDate.ofEpochDay(-1); What is the result?","1970-01-01","1969-12-31",Runtime Exception,,,,,,"B"
70,UK8297299,"Consider: LocalTime time = LocalTime.parse(""14:14:59.1111""); What is the result?",Runtime Exception,"14:14:59.1111","14:14:59.111100","14:14:59.111100000",,,,,"C"
71,UK8298149,"Consider: LocalDateTime dt = LocalDateTime.parse(""2025-03-16t10:15:30.22""); What is the result?","2025-03-16t10:15:30.22","2025-03-16T10:15:30.22","2025-03-16t10:15:30.220","2025-03-16T10:15:30.220",,,,,"D"
72,UK8298143,"Consider: LocalDateTime dt = LocalDateTime.parse(""2018-03-16t10:15:30.22""); System.out.println(dt.toLocalDate() + "" "" + dt.toLocalTime()); What is the result?","2018-03-16 10:15:30.22","2018-03-16 10:15:30.220",Compilation error,Runtime exception,,,,,"B"
73,UK8297296,"Consider: System.out.println(dt.toLocalDate() + dt.toLocalTime()); What is the result?","2018-03-1610:15:30.22","2018-03-1610:15:30.220",Compilation error,Runtime exception,,,,,"C"
74,UK8298142,"Consider: System.out.println(Instant.EPOCH); What is the result?","1970-01-01T00:00:00","1970-01-01T00:00:00Z","1970-01-01T00:00:00.000","1970-01-01T00:00:00.000Z",,,,,"B"
75,UK8297298,"Consider: Period.between(endDate, startDate) where dates are March 1 and March 11 2023. What is the result?","P10D","P11D","P-10D","P-11D",,,,,"C"
76,UK8297297,"Which statement will tell you the period left for 2022 world cup from today?","Period.between(LocalDateTime.now(), LocalDateTime.parse(""2022-11-21""))","Period.between(LocalDateTime.now(), LocalDate.parse(""2022-11-21""))","Period.between(LocalDate.now(), LocalDateTime.parse(""2022-11-21""))","Period.between(LocalDate.now(), LocalDate.parse(""2022-11-21""))",,,,,"D"
77,UK8291929,"Consider: LocalDate.of(2024, 6, 6).plus(Period.parse(""P9M"")); What is the result?","2024-3-6","2024-03-06","2025-3-6","2025-03-06",,,,,"D"
78,UK8291924,"Consider: Period period = Period.ofWeeks(100); What is the result?","P100W","p100w","p700d","P700D",,,,,"D"
79,UK8291921,"Consider: System.out.println(Duration.ofDays(-2)); What is the result?","P-2D","P2D","PT-48H","PT48H",,,,,"C"
80,UK8291925,"Consider: Duration.between(LocalDate.now(), LocalDateTime.now()); What is the result?",Program terminates successfully after displaying the output,Compilation error,Runtime Exception,,,,,,"C"
81,UK8298558,"Consider: Duration.between(LocalTime.now(), LocalDateTime.now()); What is the result?",Program terminates successfully after displaying the output,Compilation error,Runtime Exception,,,,,,"A"
82,UK8297227,"Consider: Duration.between(LocalDateTime.now(), LocalTime.now()); What is the result?",Program terminates successfully after displaying the output,Compilation error,Runtime Exception,,,,,,"C"
83,UK8295048,"Consider: t1.plus(22, ChronoUnit.HOURS).equals(t1.plusHours(22)); What is the result?",Runtime Exception,true,false,,,,,,"B"
84,UK8297226,"Consider: date1.minus(Period.ofDays(1)) and date2.plus(Period.ofDays(1)) not reassigned. What does equals and isEqual return?","true:true","false:false","false:true","true:false",,,,,"B"
85,UK8298554,"Consider: date1.plus(Duration.ofDays(1)) on LocalDate. What is the result?","2019-01-02","2019-01-01",Runtime exception,Compilation error,,,,,"C"
86,UK8294196,"_______ represents date-based amount of time where as _______ represents time-based amount of time.","Period, Duration","Duration, Period","Duration, Instant","Instant, Duration",,,,,"A"
87,UK8294195,"Which of the following classes support time zone?",LocalDate,LocalTime,LocalDateTime,ZonedDateTime,,,,,"D"
88,UK8294194,"Daylight saving time ended at 4-Nov-2018 2:00 AM. What is result of adding 1 second to 1:59:59?","2:0:0","1:0:0","3:0:0",,,,,,"B"
89,UK8296377,"Daylight saving time ended at 4-Nov-2018 2:00 AM. What is result of adding 1 second to 13:59:59?","12:0:0","13:0:0","14:0:0",,,,,,"C"
90,UK8296378,"Do 2018-02-01T10:30+05:30[Asia/Kolkata] and 2018-01-31T21:00-08:00[America/Los_Angeles] represent same time?",Yes,No,,,,,,,A
91,UK8298555,"To get duration for which Los Angeles citizen has to wait to celebrate new year when it's midnight in India, which method to use?","zIndia.withZoneSameLocal(us)","zIndia.withZoneSameInstant(us)",Cannot be achieved by just replacing /*INSERT*/,,,,,,"A"
92,UK8296371,"Which statement converts Instant to LocalDateTime?","instant.toLocalDateTime()","LocalDateTime.of(instant)","instant.atZone(ZoneId.systemDefault()).toLocalDateTime()","(LocalDateTime)instant",,,,,"C"
93,UK8298550,"Which statements convert Date to LocalDate? Choose 2.","(LocalDate)date","date.toLocalDate()","LocalDate.of(date)","date.toInstant().atZone(ZoneId.systemDefault()).toLocalDate()","Instant.ofEpochMilli(date.getTime()).atZone(ZoneId.systemDefault()).toLocalDate()",,,"D,E"
94,UK8298552,"Consider: var str = ""Have Faith!""; System.out.println(str.length() + "" : "" + str.charAt(10)); What is the result?","11 : !","10 : !",An exception is thrown at runtime,"11 : h","10 : h",Compilation error,,,"A"
95,UK8297221,"Which options print true when comparing s1=""OCP"" and s2=""ocp""?","s1.equals(s2)","s1.equals(s2.toUpper())","s2.equals(s1.toLower())","s1.length() == s2.length()","s1.equalsIgnoreCase(s2)","s1.contentEquals(s2)",,,"D,E"
96,UK8294197,"Consider: String fName = ""Joshua""; String lName = ""Bloch""; System.out.println(fName = lName); What is the result?",Compilation error,false,true,None of the other options,,,,,"D"
97,UK8296374,"Consider: String str = ""Think""; change(str); where change does s.concat(""_Twice""). What is printed?",Think,_Twice,Think_Twice,None of the other options,,,,,"A"
98,UK8295043,"Consider: String text = ""ONE ""; System.out.println(text.concat(text.concat(""ELEVEN "")).trim()); What is the result?","ONE ELEVEN","ONE ONE ELEVEN","ONE ELEVEN ONE ELEVEN","ONE ELEVEN ONE",,,,,"B"
99,UK8296390,"Which methods remove leading and trailing spaces from "" BE YOURSELF! "" to print ""BE YOURSELF!""? Choose 3.","trim()","strip()","stripLeading().stripTrailing()","ltrim().rtrim()","trimLeading().trimTrailing()","trimBoth()",,,"A,B,C"
100,UK8298570,"Consider: public class Test extends String { ... } What is the result?",TEST,Output string contains @ symbol,Exception is thrown at runtime,Compilation error,,,,,"D"
101,UK8296391,"How many String objects in HEAP when control is at Line n9 after creating s1-s5 with mix of new String and literals?",2,3,4,5,,,,,"B"
102,UK8291935,"Which extracts country code (characters at index 4 and 5) from swift code?","swiftCode.substring(4, 6)","swiftCode.substring(5, 6)","swiftCode.substring(5, 7)","swiftCode.substring(4, 5)",,,,,"A"
103,UK8291932,"Consider: String str = "" ""; What does isEmpty() and isBlank() return before and after strip()?","false : truetrue : true","false : falsetrue : true","true : falsetrue : false","false : truefalse : true","false : truetrue : false",,,,"D"
104,UK8291938,"Consider: String s1 = ""1Z0-829""; String s2 = ""1Z0-829"" + """"; System.out.println(s1 == s2); What is the result?","1Z0-829",true,false,Compilation error,,,,,"B"
105,UK8291936,"Consider: final String fName = ""James""; String lName = ""Gosling""; What does name1==name2 and name2==name3 return?",truetrue,truefalse,falsefalse,falsetrue,,,,,"D"
106,UK8298569,"Consider: final int i1=1; final Integer i2=1; final String s1="":ONE""; What does str1==""1:ONE"" and str2==""1:ONE"" return?",truetrue,truefalse,falsefalse,falsetrue,,,,,"B"
107,UK8291930,"Consider: java += world where java=""Java"" and world=""World"". What does java == javaworld return?",JavaWorld,Java,World,true,false,,,,"E"
108,UK8291931,"Consider: m1(null) with overloaded methods for CharSequence, String, and Object. What is the result?",Compilation Error,CharSequence,String,Object,,,,,"C"
109,UK8297234,"Which types for x and y print 3 for String.valueOf(x + y).length() where x=7, y=200?",byte,short,int,long,float,double,var,,"B,C,D"
110,UK8298565,"Which options make str=""*"" become ""*****""? Choose 2.","str.repeat(5);","str = str.repeat(5);","String.repeat(str, 5);","str = String.repeat(str, 5);","str *= 5;","str = str * 5;","for(var var = 0; var < 4; var++) { str += ""*"";}","for(int i = 0; i < 5; i++) { str += ""*"";}","B,G"
111,UK8296388,"Consider: final var str = ""+""; System.out.println(str.repeat(2) == ""++""); What is the result?",true,false,+,++,,,,,"B"
112,UK8297236,"Consider: str.replace(""N"", sb) where str=""PANIC"" and sb=""THET"". What is the result?",PANIC,PATHETIC,Line n1 causes compilation error,Line n1 throws error at runtime,,,,,"B"
113,UK8298566,"Consider: ""Java"" == ""Java"".replace('J', 'J') and ""Java"" == ""Java"".replace(""J"", ""J""). What is the result?",Line n1 causes compilation error,Line n2 causes compilation error,true,false,,,,,"C"
114,UK8295058,"Consider: ""MISSS"".replace(""SS"", ""T""); What is the output?",MITS,MITS,MISSS,MIT,,,,,"B"
115,UK8295052,"Consider: str.charAt(str.indexOf(""A"") + 1) where str=""ALASKA"". What is the result?",A,L,S,K,Runtime error,,,,"B"
116,UK8298560,"Consider: arr[place.indexOf(""a"", 3)] where place=""faraway"" and arr={""1st"",""2nd"",""3rd"",""4th"",""5th""}. What is the result?",1st,3rd,5th,2nd,4th,An exception is raised by Line n1,,,"E"
117,UK8298563,"How many options make word=""REBUS"" print BUS? Options include substring and replace methods.",One option only,Two options only,Three options only,Four options only,Five options only,All 6 options,,,"C"
118,UK8295053,"Which statements are correct about String.join snippets with null arrays?",Snippet 1 compiles successfully,Snippet 2 compiles successfully,Snippet 3 compiles successfully,Snippet 4 compiles successfully,Snippet 1 throws runtime exception,Snippet 2 throws runtime exception,Snippet 3 throws runtime exception,Snippet 4 throws runtime exception,"A,B,C,G"
119,UK8296385,"Consider: str = String.join(""-"", str.split("" "")) where str=""USER GENERATED"". What is the result?","USER GENERATED","USER-GENERATED",-,Compilation error,An exception is thrown at runtime,,,,"B"
120,UK8298562,"Consider: String.join(""."", ""BEVERAGE"".split(""E"", 3)). What is the result?",BEVERAGE,B.VERAGE,B.V.RAGE,B.V.RAG.,B.V.RAG..,Compilation error,,,"C"
121,UK8298581,"Consider: ""an"".split(""an"").length. What is the result?",0,1,2,3,Compilation error,,,,"A"
